# Flags:
# - to do
# * to do, called by Tomb1Main
# x unused
# + fully decompiled
#
# Name                          Offset      Size        Flags

# 3dsystem/3d_gen.cpp
phd_GenerateW2V                 0x00401000  0x00000197  +
phd_LookAt                      0x004011A0  0x000000C9  +
phd_GetVectorAngles             0x00401270  0x0000007E  +
phd_NormaliseVector             ----------  ----------  x
phd_GetMatrixAngles             ----------  ----------  x
phd_RotX                        0x004012F0  0x000000AE  +
phd_RotY                        0x004013A0  0x000000AC  +
phd_RotZ                        0x00401450  0x000000AC  +
phd_RotYXZ                      0x00401500  0x000001E8  +
phd_RotYXZpack                  0x004016F0  0x000001F3  +
phd_TranslateRel                0x004018F0  0x000000AB  +
phd_TranslateAbs                0x004019A0  0x0000007A  +
HWR_VisibleZClip                0x00401A20  0x000000A9  +
phd_PutPolygons                 0x00401AD0  0x000000F3  *
S_InsertRoom                    0x00401BD0  0x0000006E  *
calc_object_vertices            0x00401C40  0x000001B6  +
calc_vertice_light              0x00401E00  0x00000165  +
calc_roomvert                   0x00401F70  0x00000428  +
phd_RotateLight                 0x004023A0  0x000000CF  +
phd_PointLight                  ----------  ----------  x
phd_InitPolyList                0x00402470  0x0000002D  *
phd_SortPolyList                0x004024A0  0x0000002F  x
do_quickysorty                  0x004024D0  0x000000C5  x
phd_PrintPolyList               ----------  ----------  x
phd_InitWindow                  0x004025D0  0x000000F2  +
AlterFOV                        0x004026D0  0x0000003F  +

# 3dsystem/3d_line.cpp
Insert2DLine                    0x00402710  0x000000CA  +
draw_line                       ----------  ----------  x
draw_poly_line                  0x004027E0  0x000001A1  x

# 3dsystem/3d_out.cpp
draw_poly_flat                  0x00402990  0x0000002F  x
draw_poly_trans                 0x004029C0  0x00000030  x
draw_poly_gouraud               0x004029F0  0x00000030  x
draw_poly_gtmap                 0x00402A20  0x00000037  x
draw_poly_wgtmap                0x00402A60  0x00000037  x
draw_poly_gtmap_persp           0x00402AA0  0x00000037  x
draw_poly_wgtmap_persp          0x00402AE0  0x00000037  x
xgen_x                          0x00402B20  0x000000D2  x
xgen_xg                         0x00402C00  0x00000146  x
xgen_xguv                       0x00402D50  0x00000219  x
xgen_xguvpersp_fp               0x00402F70  0x00000226  x
gtmap_persp16_fp                0x004031A0  0x000005D0  x
wgtmap_persp16_fp               0x00403770  0x00000637  x

# ???
sub_403DB0                      0x00403DB0  0x0000029A  x
sub_404050                      0x00404050  0x0000068B  x
sub_4046E0                      0x004046E0  0x000006BC  -
sub_404DA0                      0x00404DA0  0x0000058F  -
sub_405330                      0x00405330  0x000006BB  -
sub_4059F0                      0x004059F0  0x00000594  -
sub_405F90                      0x00405F90  0x0000041B  -
sub_4063B0                      0x004063B0  0x0000035B  -
XYGClipper                      0x00406710  0x000003C2  x
ins_objectG4                    0x00406AE0  0x000002AE  -
ins_objectG3                    0x00406D90  0x0000023E  -
sub_406FD0                      0x00406FD0  0x000002D0  x
sub_4072A0                      0x004072A0  0x00000523  -
HWR_Error                       0x004077D0  0x00000034  +
HWR_RenderBegin_0               0x00407804  0x00000023  +
HWR_RenderBegin                 0x00407827  0x00000014  +
